candidato,consulta,fecha,partido,proporcion_consulta,votos_proporcion,link
Ivan_Duque,	Gran Consulta por Colombia,2018-03-11,Centro Democratico,4038101,67.7,http://resultados2018.registraduria.gov.co/resultados/htmlfijo/consulta.html
Marta_L_Ramirez,Gran Consulta por Colombia,2018-03-11,Por una Colombia Honesta y Fuerte Marta Lucía,	1537790,	25.8,	http://resultados2018.registraduria.gov.co/resultados/htmlfijo/consulta.html
Alejandro_Ordonez,	Gran Consulta por Colombia,	2018-03-11,	La Patria de Pie,	384721,	6.5,	http://resultados2018.registraduria.gov.co/resultados/htmlfijo/consulta.html
Gustavo_Petro,	Consulta Inclusion Social por la Paz,	2018-03-11,	Colombia Humana,	2849331,	84.7,	http://resultados2018.registraduria.gov.co/resultados/htmlfijo/consulta.html
Carlos_Caicedo,	Consulta Inclusion Social por la Paz,	2018-03-11,	Fuerza Ciudadana,	514978,	15.3,	http://resultados2018.registraduria.gov.co/resultados/htmlfijo/consulta.html
Humberto_delaCalle,	Liberal,	2017-11-19,	Liberal,	324777,	47.0,	https://wsr.registraduria.gov.co/-Partido-Liberal-.html
Juan_Fernando_Cristo,	Liberal,	2017-11-19,	Liberal,	365658,	10.9,	https://wsr.registraduria.gov.co/-Partido-Liberal-.html
Votos_Nulos,	Gran Consulta por Colombia,	2018-03-11,	,	73745,	,	http://resultados2018.registraduria.gov.co/resultados/htmlfijo/consulta.html
Votos_NoMarcados,	Gran Consulta por Colombia,	2018-03-11,,	95943,,	http://resultados2018.registraduria.gov.co/resultados/htmlfijo/consulta.html
Votos_Nulos,	Consulta Inclusion Social por la Paz,	2018-03-11,,	62567,,		http://resultados2018.registraduria.gov.co/resultados/htmlfijo/consulta.html
Votos_NoMarcados,	Consulta Inclusion Social por la Paz,	2018-03-11,,		99134,,		http://resultados2018.registraduria.gov.co/resultados/htmlfijo/consulta.html
Votos_Nulos,	Liberal,	2017-11-19,,40961,,		https://wsr.registraduria.gov.co/-Partido-Liberal-.html
Votos_NoMarcados,	Liberal,	2017-11-19,	,	13125,,	https://wsr.registraduria.gov.co/-Partido-Liberal-.html
