partido,nombre,candidato,firmas,validas,proporcion
Compromiso Ciudadano,Sergio Fajardo,sergio_fajardo,1019341,674471,66
Ante Todo Colombia,Juan Carlos Pinzon Bueno,juan_carlos_pinzon,869250,569042,65
Colombia Humana,Gustavo Francisco Petro Urrego,gustavo_petro,852345,550337,65
Poder Ciudadano,Piedad Esneda Cordoba Ruíz,piedad_cordoba,1316386,836790,64
Por una Colombia Honesta y Fuerte Marta Lucía,Martha Lucía Ramírez Blanco,marta_lucia_ramirez,821880,440502,54
Mejor Vargas Lleras,German Vargas Lleras,german_vargas_lleras,5522088,2752287,50
Creemos País,Frank Joseph Pearl Gonzalez,pearl,522045,256113,49
Grupo Significativo Movimiento Promover Colombia,Jairo Raul Clopatofsky Ghisays,	clopatofsky,480885,211615,44
Fuerza Ciudadana,Carlos Eduardo Caicedo Omar, carlos_caicedo,2058720,885599,43
La Patria de Pie,Alejandro Ordonez Maldonado,alejandro_ordonez,2208543,841460,38
Patria Nueva,Luis Herlindo Mendieta Ovalle,mendieta,482805,174619,36
